,Threshold (3σ),Isolation Forest,Random Forest,LSTM Autoencoder
1,0.9312795771213139,0.9414654819284931,0.9700678403958389,0.9673851218065859
2,0.9787908865555534,0.9372451089964599,0.9645518992104591,0.9620844433091268
3,0.018719406844069295,0.17025531359169416,0.09782064718542341,0.08840397885115153
4,0.018724248659586218,0.4169747299811808,0.9711117801008987,0.1487492135123994
5,0.022614248049423545,0.5003670930744003,0.6772939577374013,0.9677848614253052
6,0.9818994183301353,0.9426737022079416,0.9706507073486782,0.9677848614253052
7,0.219507320790518,0.6849362480971223,0.9711130290593435,0.9677848614253052
8,0.3569992623395994,0.9317706651862776,0.9590238630362429,0.9525411244782716
9,0.01868067146798699,0.17683644651741545,0.09694084892845516,0.08951681518964667
10,0.01946476774437835,0.6713469494197556,0.8759341310774054,0.48532831555216305
11,0.040815241556633866,0.5387947189513513,0.8888647095375306,0.7156662050695406
12,0.5841807376827312,0.9374982226308854,0.9659742614093153,0.9617308136917292
13,0.632340016363161,0.9194477047548582,0.9456815677064805,0.9365223785724078
14,0.740853137686719,0.8586331988340568,0.9671561620733061,0.9677848614253052
15,0.018787190107889495,0.1886510410248848,0.1072210163375048,0.0922932456905225
16,0.0189372651168246,0.48118186684011194,0.8509926458128579,0.321378686234778
17,0.6352017884377767,0.7726131650628961,0.9404889585567747,0.9078132200092162
18,0.9118462624586947,0.9103520516600054,0.9388056094962296,0.9347831514818606
19,0.33931724423287274,0.3598637688899945,0.7668418357251766,0.8959850945178361
20,0.020702569022804564,0.6521746972739626,0.8096643134104707,0.5967964741481384
